pos00,pos01,pos02,pos10,pos11,pos12,pos20,pos21,pos22,player,step,result,game_id,state
-1,0,0,-1,1,-1,1,1,1,1,6,1,869,end
1,0,0,0,0,0,0,0,0,1,0,1,870,start
1,-1,0,0,0,0,0,0,0,-1,1,1,870,mid
1,-1,0,0,1,0,0,0,0,1,2,1,870,mid
1,-1,-1,0,1,0,0,0,0,-1,3,1,870,mid
1,-1,-1,0,1,0,0,1,0,1,4,1,870,mid
1,-1,-1,0,1,0,-1,1,0,-1,5,1,870,mid
1,-1,-1,0,1,1,-1,1,0,1,6,1,870,mid
1,-1,-1,0,1,1,-1,1,-1,-1,7,1,870,mid
1,-1,-1,1,1,1,-1,1,-1,1,8,1,870,end
0,0,0,0,0,0,0,1,0,1,0,1,871,start
0,0,0,0,-1,0,0,1,0,-1,1,1,871,mid
0,0,0,0,-1,1,0,1,0,1,2,1,871,mid
0,0,-1,0,-1,1,0,1,0,-1,3,1,871,mid
0,0,-1,0,-1,1,0,1,1,1,4,1,871,mid
0,-1,-1,0,-1,1,0,1,1,-1,5,1,871,mid
0,-1,-1,0,-1,1,1,1,1,1,6,1,871,end
0,0,0,0,0,0,0,0,1,1,0,1,872,start
0,-1,0,0,0,0,0,0,1,-1,1,1,872,mid
0,-1,0,0,1,0,0,0,1,1,2,1,872,mid
0,-1,0,0,1,0,-1,0,1,-1,3,1,872,mid
0,-1,1,0,1,0,-1,0,1,1,4,1,872,mid
0,-1,1,-1,1,0,-1,0,1,-1,5,1,872,mid
0,-1,1,-1,1,0,-1,1,1,1,6,1,872,mid
0,-1,1,-1,1,-1,-1,1,1,-1,7,1,872,mid
1,-1,1,-1,1,-1,-1,1,1,1,8,1,872,end
1,0,0,0,0,0,0,0,0,1,0,0,873,start
1,0,0,0,-1,0,0,0,0,-1,1,0,873,mid
1,0,1,0,-1,0,0,0,0,1,2,0,873,mid
1,0,1,-1,-1,0,0,0,0,-1,3,0,873,mid
1,0,1,-1,-1,0,1,0,0,1,4,0,873,mid
1,0,1,-1,-1,0,1,0,-1,-1,5,0,873,mid
1,0,1,-1,-1,1,1,0,-1,1,6,0,873,mid
1,-1,1,-1,-1,1,1,0,-1,-1,7,0,873,mid
1,-1,1,-1,-1,1,1,1,-1,1,8,0,873,end
1,0,0,0,0,0,0,0,0,1,0,1,874,start
1,0,-1,0,0,0,0,0,0,-1,1,1,874,mid
1,0,-1,0,1,0,0,0,0,1,2,1,874,mid
1,0,-1,0,1,0,-1,0,0,-1,3,1,874,mid
1,0,-1,0,1,0,-1,1,0,1,4,1,874,mid
1,0,-1,0,1,0,-1,1,-1,-1,5,1,874,mid
1,0,-1,0,1,1,-1,1,-1,1,6,1,874,mid
1,-1,-1,0,1,1,-1,1,-1,-1,7,1,874,mid
1,-1,-1,1,1,1,-1,1,-1,1,8,1,874,end
0,0,0,0,0,0,1,0,0,1,0,1,875,start
0,0,-1,0,0,0,1,0,0,-1,1,1,875,mid
0,0,-1,1,0,0,1,0,0,1,2,1,875,mid
0,-1,-1,1,0,0,1,0,0,-1,3,1,875,mid
0,-1,-1,1,1,0,1,0,0,1,4,1,875,mid
0,-1,-1,1,1,0,1,0,-1,-1,5,1,875,mid
1,-1,-1,1,1,0,1,0,-1,1,6,1,875,end
